"SD","Percentage","ProtConn","Jaar"
0,0.215813,"Beschermd",2021
0.0525173933751159,0.16903725,"Beschermd en geconnecteerd",2021
0,0.784187,"Niet beschermd",2021
0,0.217151,"Beschermd",2022
0.052966467508541,0.1705015,"Beschermd en geconnecteerd",2022
0,0.782849,"Niet beschermd",2022
0,0.218803,"Beschermd",2023
0.0533049409052919,0.17191975,"Beschermd en geconnecteerd",2023
0,0.781197,"Niet beschermd",2023
0,0.221086,"Beschermd",2024
0.0555745721673441,0.17264175,"Beschermd en geconnecteerd",2024
0,0.778914,"Niet beschermd",2024
