"SD","Percentage","ProtConn","Jaar"
0,0.191891,"Beschermd",2021
0.048261688362337,0.14198325,"Beschermd en geconnecteerd",2021
0,0.808109,"Niet beschermd",2021
0,0.193282,"Beschermd",2022
0.0481438408755471,0.14362375,"Beschermd en geconnecteerd",2022
0,0.806718,"Niet beschermd",2022
0,0.194168,"Beschermd",2023
0.0481618334472433,0.1448325,"Beschermd en geconnecteerd",2023
0,0.805832,"Niet beschermd",2023
0,0.196873,"Beschermd",2024
0.0499537821691211,0.1462565,"Beschermd en geconnecteerd",2024
0,0.803127,"Niet beschermd",2024
